Alpha Chamaeleontis,0,4.05,1,7
Theta Chamaeleontis,0,4.34,1,6
Gamma Chamaeleontis,0,4.11,0,1
Delta Chamaeleontis,0,4.45,0,0
Beta Chamaeleontis,0,4.24,6,27
Alpha Volantis,1,4,0,15
Beta Volantis,1,3.77,1,9
Epsilon Volantis,1,4.35,1,8
Delta Volantis,1,3.97,1,3
Gamma Volantis,1,3.62,1,4
Zeta Volantis,1,3.93,1,5
Alpha Carinae,2,-0.72,1,20
Chi Carinae,2,3.46,1,11
Epsilon Carinae,2,1.86,1,10
Iota Carinae,2,2.23,0,16
q Carinae,2,3.52,0,11
Rho Carinae,2,3.31,0,3
Theta Carinae,2,2.74,0,4
Omega Carinae,2,3.29,0,2
l Carinae,2,3.94,0,13
Upsilon Carinae,2,2.92,0,12
Beta Carinae,2,1.67,0,14
a Carinae,2,3.36,0,18
d Carinae,2,4.25,0,19
Gamma Velorum,3,1.83,1,12
Delta Velorum,3,1.96,0,20
Kappa Velorum,3,2.47,0,17
Phi Velorum,3,3.52,0,10
Mu Velorum,3,2.69,0,7
p Velorum,3,3.91,0,8
q Velorum,3,3.86,0,9
Psi Velorum,3,3.66,0,23
Lambda Velorum,3,2.21,0,22
c Velorum,3,3.91,0,21
Alpha Antliae,4,4.41,0,33
Epsilon Antliae,4,4.66,0,24
Iota Antliae,4,4.75,0,34
Theta Antliae,4,4.88,0,32
Beta Pyxidis,5,4.13,0,25
Alpha Pyxidis,5,3.61,0,26
Gamma Pyxidis,5,4.02,0,27
Delta Pyxidis,5,4.91,0,28
Kappa Pyxidis,5,4.72,0,29
Theta Pyxidis,5,4.78,0,30
Lambda Pyxidis,5,4.84,0,31
Alpha Crateris,6,4.22,0,42
Beta Crateris,6,4.47,0,41
Gamma Crateris,6,4.13,0,39
Delta Crateris,6,3.7,0,40
Zeta Crateris,6,4.88,0,38
Epsilon Crateris,6,4.91,0,90
Theta Crateris,6,4.66,0,91
Eta Crateris,6,5.16,0,37
Alpha Sextantis,7,4.47,0,87
Beta Sextantis,7,5.03,0,88
Delta Sextantis,7,5.19,0,89
Gamma Sextantis,7,5.06,0,48
Epsilon Hydrae,8,3.5,0,57
Delta Hydrae,8,4.13,0,56
Sigma Hydrae,8,4.59,0,55
Eta Hydrae,8,4.22,0,54
